Fecha,medio,Valor
15/03/2023,EMT,1577224
15/03/2023,Conc. por carretera,994950
15/03/2023,Renfe Cercanías,630922
16/03/2023,Metro de Madrid,2263120
16/03/2023,EMT,1567203
16/03/2023,Conc. por carretera,991121
16/03/2023,Renfe Cercanías,621693
17/03/2023,Metro de Madrid,2277620
17/03/2023,EMT,1520453
17/03/2023,Conc. por carretera,987580
17/03/2023,Renfe Cercanías,615016
18/03/2023,Metro de Madrid,1501921
18/03/2023,EMT,832858
18/03/2023,Conc. por carretera,469408
18/03/2023,Renfe Cercanías,366828
19/03/2023,Metro de Madrid,1143689
19/03/2023,EMT,635029
19/03/2023,Conc. por carretera,339005
19/03/2023,Renfe Cercanías,296000
20/03/2023,Metro de Madrid,1056847
20/03/2023,EMT,631057
20/03/2023,Conc. por carretera,347980
20/03/2023,Renfe Cercanías,287063
21/03/2023,Metro de Madrid,2192589
21/03/2023,EMT,1551433
21/03/2023,Conc. por carretera,981022
21/03/2023,Renfe Cercanías,616554
22/03/2023,Metro de Madrid,2268540
22/03/2023,EMT,1586354
22/03/2023,Conc. por carretera,996280
22/03/2023,Renfe Cercanías,632531
23/03/2023,Metro de Madrid,2290906
23/03/2023,EMT,1578367
23/03/2023,Conc. por carretera,995484
23/03/2023,Renfe Cercanías,628769
24/03/2023,Metro de Madrid,2367644
24/03/2023,EMT,1562904
24/03/2023,Conc. por carretera,1002566
24/03/2023,Renfe Cercanías,624661
25/03/2023,Metro de Madrid,1594228
25/03/2023,EMT,878986
25/03/2023,Conc. por carretera,485669
25/03/2023,Renfe Cercanías,385578
26/03/2023,Metro de Madrid,1199293
26/03/2023,EMT,617097
26/03/2023,Conc. por carretera,323935
26/03/2023,Renfe Cercanías,301740
27/03/2023,Metro de Madrid,2144077
27/03/2023,EMT,1527878
27/03/2023,Conc. por carretera,962274
27/03/2023,Renfe Cercanías,608667
28/03/2023,Metro de Madrid,2259452
28/03/2023,EMT,1582556
28/03/2023,Conc. por carretera,993094
28/03/2023,Renfe Cercanías,616622
29/03/2023,Metro de Madrid,2283366
29/03/2023,EMT,1595018
29/03/2023,Conc. por carretera,999674
29/03/2023,Renfe Cercanías,635325
30/03/2023,Metro de Madrid,2320926
30/03/2023,EMT,1592132
30/03/2023,Conc. por carretera,1023754
30/03/2023,Renfe Cercanías,633555
31/03/2023,Metro de Madrid,2095266
31/03/2023,EMT,1325839
31/03/2023,Conc. por carretera,848081
31/03/2023,Renfe Cercanías,574542
01/04/2023,Metro de Madrid,1406590
01/04/2023,EMT,807016
01/04/2023,Conc. por carretera,453186
01/04/2023,Renfe Cercanías,351870
02/04/2023,Metro de Madrid,1195604
02/04/2023,EMT,620960
02/04/2023,Conc. por carretera,338229
02/04/2023,Renfe Cercanías,295524
03/04/2023,Metro de Madrid,1702170
03/04/2023,EMT,1137159
03/04/2023,Conc. por carretera,709431
03/04/2023,Renfe Cercanías,480533
04/04/2023,Metro de Madrid,1714146
04/04/2023,EMT,1138197
04/04/2023,Conc. por carretera,709374
04/04/2023,Renfe Cercanías,482882
05/04/2023,Metro de Madrid,1649991
05/04/2023,EMT,1080964
05/04/2023,Conc. por carretera,670875
05/04/2023,Renfe Cercanías,468672
06/04/2023,Metro de Madrid,1099316
06/04/2023,EMT,595906
06/04/2023,Conc. por carretera,333654
06/04/2023,Renfe Cercanías,293538
07/04/2023,Metro de Madrid,1089598
07/04/2023,EMT,568289
07/04/2023,Conc. por carretera,317061
07/04/2023,Renfe Cercanías,285364
08/04/2023,Metro de Madrid,1170396
08/04/2023,EMT,656891
08/04/2023,Conc. por carretera,370031
08/04/2023,Renfe Cercanías,298812
09/04/2023,Metro de Madrid,1022443
09/04/2023,EMT,557607
09/04/2023,Conc. por carretera,304627
09/04/2023,Renfe Cercanías,262227
10/04/2023,Metro de Madrid,1754625
10/04/2023,EMT,1188868
10/04/2023,Conc. por carretera,715643
10/04/2023,Renfe Cercanías,490351
11/04/2023,Metro de Madrid,2179178
11/04/2023,EMT,1615097
11/04/2023,Conc. por carretera,978893
11/04/2023,Renfe Cercanías,620917
12/04/2023,Metro de Madrid,2308419
12/04/2023,EMT,1652254
12/04/2023,Conc. por carretera,997017
12/04/2023,Renfe Cercanías,633748
13/04/2023,Metro de Madrid,2305672
13/04/2023,EMT,1585872
13/04/2023,Conc. por carretera,1004523
13/04/2023,Renfe Cercanías,632236
14/04/2023,Metro de Madrid,2370108
14/04/2023,EMT,1567788
14/04/2023,Conc. por carretera,1016596
14/04/2023,Renfe Cercanías,627655
15/04/2023,Metro de Madrid,1591272
15/04/2023,EMT,879657
15/04/2023,Conc. por carretera,493322
15/04/2023,Renfe Cercanías,384161
16/04/2023,Metro de Madrid,1201331
16/04/2023,EMT,655624
16/04/2023,Conc. por carretera,336932
16/04/2023,Renfe Cercanías,301339
17/04/2023,Metro de Madrid,2165635
17/04/2023,EMT,1551010
17/04/2023,Conc. por carretera,978480
17/04/2023,Renfe Cercanías,609902
18/04/2023,Metro de Madrid,2265823
18/04/2023,EMT,1598771
18/04/2023,Conc. por carretera,1006797
18/04/2023,Renfe Cercanías,635554
19/04/2023,Metro de Madrid,2307259
19/04/2023,EMT,1614615
19/04/2023,Conc. por carretera,1015948
19/04/2023,Renfe Cercanías,642093
20/04/2023,Metro de Madrid,2317922
20/04/2023,EMT,1614698
20/04/2023,Conc. por carretera,1018374
20/04/2023,Renfe Cercanías,627897
21/04/2023,Metro de Madrid,2354803
21/04/2023,EMT,1576928
21/04/2023,Conc. por carretera,1013959
21/04/2023,Renfe Cercanías,620633
22/04/2023,Metro de Madrid,1584022
22/04/2023,EMT,866717
22/04/2023,Conc. por carretera,486688
22/04/2023,Renfe Cercanías,374450
23/04/2023,Metro de Madrid,1334590
23/04/2023,EMT,580749
23/04/2023,Conc. por carretera,344355
23/04/2023,Renfe Cercanías,319780
24/04/2023,Metro de Madrid,2171294
24/04/2023,EMT,1519377
24/04/2023,Conc. por carretera,983948
24/04/2023,Renfe Cercanías,609036
25/04/2023,Metro de Madrid,2272945
25/04/2023,EMT,1613298
25/04/2023,Conc. por carretera,1016134
25/04/2023,Renfe Cercanías,635524
26/04/2023,Metro de Madrid,2347068
26/04/2023,EMT,1620991
26/04/2023,Conc. por carretera,1020244
26/04/2023,Renfe Cercanías,643128
27/04/2023,Metro de Madrid,2307431
27/04/2023,EMT,1599791
27/04/2023,Conc. por carretera,1020241
27/04/2023,Renfe Cercanías,635967
28/04/2023,Metro de Madrid,2252878
28/04/2023,EMT,1516885
28/04/2023,Conc. por carretera,996051
28/04/2023,Renfe Cercanías,621349
29/04/2023,Metro de Madrid,1431071
29/04/2023,EMT,811442
29/04/2023,Conc. por carretera,466785
29/04/2023,Renfe Cercanías,357865
30/04/2023,Metro de Madrid,1222359
30/04/2023,EMT,653694
30/04/2023,Conc. por carretera,371516
30/04/2023,Renfe Cercanías,315519
01/05/2023,Metro de Madrid,1095920
01/05/2023,EMT,594750
01/05/2023,Conc. por carretera,350155
01/05/2023,Renfe Cercanías,280484
02/05/2023,Metro de Madrid,1075225
02/05/2023,EMT,647904
02/05/2023,Conc. por carretera,356221
02/05/2023,Renfe Cercanías,284087
03/05/2023,Metro de Madrid,2231346
03/05/2023,EMT,1580089
03/05/2023,Conc. por carretera,997015
03/05/2023,Renfe Cercanías,604006
